SKU,Venta,Categoría,Producto,Cantidad,Precio,Fecha,Tienda,Total
N.P. GSP-15AP,Store Pickup,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",3,"$2,877.22 ",10-may-19,Queretaro,"$8,631.67 "
N.P. GSB-011,Fisico,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,1,"$1,133.64 ",09-jul-19,Puebla,"$1,133.64 "
N.P. 3MARMPRB.0001,Fisico,Otros,Silla Deportiva COUGAR Gaming ARMOR Pro Negro 3MARMPRB.0001,3,"$5,111.42 ",13-dic-19,Puebla,"$15,334.27 "
N.P. GCV-003,Fisico,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,1,$337.05 ,14-abr-19,CDMX,$337.05 
N.P. DIR-878,Store Pickup,Conectividad,Router D-Link DIR-878 Wireless-AC1900 Dual Banda 2.4GHz / 5Ghz 1900Mb/s WiFi 1x Wan 4x Lan DIR-878,1,"$3,305.54 ",20-sep-19,Yucatan,"$3,305.54 "
N.P. GAC-169,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,5,$94.70 ,28-sep-19,Quintana Roo,$473.51 
N.P. X299X AORUS MASTER,Store Pickup,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,5,"$9,562.62 ",21-ago-19,Quintana Roo,"$47,813.10 "
N.P. GAC-084,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Negro / Rojo GAC-084,5,$35.47 ,22-may-19,Chihuahua,$177.37 
N.P. GAC-122,Store Pickup,Energía,"Batería Portátil GHIA GAC-122 10,050mAH 2x USB Negro GAC-122",1,$384.96 ,13-abr-19,Jalisco,$384.96 
N.P. GSB-011,Fisico,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,3,"$1,157.76 ",14-abr-19,Puebla,"$3,473.28 "
